rgi_id,index_right,auto_term,lake_level,image_id,image_date,inventory_doi,contributor,notes
RGI2000-v7.0-G-05-00716,0,9,0,LE07_L1TP_018008_20010807_20200917_02_T1,2001-08-07,https://dx.doi.org/10.5285/7ea7540135f441369716ef867d217519,McNabb,
RGI2000-v7.0-G-05-00717,1,9,0,LE07_L1TP_018008_20010807_20200917_02_T1,2001-08-07,https://dx.doi.org/10.5285/7ea7540135f441369716ef867d217519,McNabb,
RGI2000-v7.0-G-05-00718,2,9,2,LE07_L1TP_018008_20010807_20200917_02_T1,2001-08-07,https://dx.doi.org/10.5285/7ea7540135f441369716ef867d217519,McNabb,
RGI2000-v7.0-G-05-00719,3,9,0,LE07_L1TP_018008_20010807_20200917_02_T1,2001-08-07,https://dx.doi.org/10.5285/7ea7540135f441369716ef867d217519,McNabb,
RGI2000-v7.0-G-05-00720,4,9,0,LE07_L1TP_018008_20010807_20200917_02_T1,2001-08-07,https://dx.doi.org/10.5285/7ea7540135f441369716ef867d217519,McNabb,
RGI2000-v7.0-G-05-00721,5,9,0,LE07_L1TP_018008_20010807_20200917_02_T1,2001-08-07,https://dx.doi.org/10.5285/7ea7540135f441369716ef867d217519,McNabb,
RGI2000-v7.0-G-05-00722,6,9,0,LE07_L1TP_018008_20010807_20200917_02_T1,2001-08-07,https://dx.doi.org/10.5285/7ea7540135f441369716ef867d217519,McNabb,
RGI2000-v7.0-G-05-00723,7,9,0,LE07_L1TP_018008_20010807_20200917_02_T1,2001-08-07,https://dx.doi.org/10.5285/7ea7540135f441369716ef867d217519,McNabb,
RGI2000-v7.0-G-05-00724,8,9,0,LE07_L1TP_018008_20010807_20200917_02_T1,2001-08-07,https://dx.doi.org/10.5285/7ea7540135f441369716ef867d217519,McNabb,
RGI2000-v7.0-G-05-00725,9,9,0,LE07_L1TP_018008_20010807_20200917_02_T1,2001-08-07,https://dx.doi.org/10.5285/7ea7540135f441369716ef867d217519,McNabb,
RGI2000-v7.0-G-05-00726,10,2,0,LE07_L1TP_018008_20010807_20200917_02_T1,2001-08-07,https://dx.doi.org/10.5285/7ea7540135f441369716ef867d217519,McNabb,doesn't appear to have lake in 2001
RGI2000-v7.0-G-05-00727,11,9,0,LE07_L1TP_018008_20010807_20200917_02_T1,2001-08-07,https://dx.doi.org/10.5285/7ea7540135f441369716ef867d217519,McNabb,
RGI2000-v7.0-G-05-00728,12,9,0,LE07_L1TP_018008_20010807_20200917_02_T1,2001-08-07,https://dx.doi.org/10.5285/7ea7540135f441369716ef867d217519,McNabb,
RGI2000-v7.0-G-05-00729,13,9,0,LE07_L1TP_018008_20010807_20200917_02_T1,2001-08-07,https://dx.doi.org/10.5285/7ea7540135f441369716ef867d217519,McNabb,
RGI2000-v7.0-G-05-00730,14,9,0,LE07_L1TP_018008_20010807_20200917_02_T1,2001-08-07,https://dx.doi.org/10.5285/7ea7540135f441369716ef867d217519,McNabb,
